module	status	blocker_category	first_error	direct_deps	n_direct_deps	fstar_s	krml_s
Parser.JSONResults	PASS			Parser.Combinators,RDF.Graph.Executable	2	16.48	0.61
Parser.NQuads	BLOCKED_SELF	krml fatal: Failure("nth")	Fatal error: exception Failure("nth")	Parser.Combinators,Parser.FastString,Parser.NTriples,RDF.Graph.Executable	4	59.04	0.17
Parser.NTriples	PASS			Parser.Combinators,Parser.FastString,RDF.Graph.Executable	3	46.27	0.44
Parser.OWLFunctional	PASS			Parser.Combinators,Parser.FastString,RDF.Graph.Executable	3	13.19	0.49
Parser.RDFXML	PASS			Parser.Combinators,Parser.IRI,Parser.XML,RDF.Graph.Executable	4	25.26	1.10
Parser.RIFXML	PASS			Parser.XML,RDF.Graph.Executable,RIF.Core.Syntax	3	18.97	1.22
Parser.SRX	PASS			Parser.XML,RDF.Graph.Executable	2	10.98	0.42
Parser.TriG	PASS			Parser.Combinators,Parser.FastString,Parser.NTriples,Parser.Turtle,RDF.Graph.Executable	5	21.06	1.27
Parser.Turtle	PASS			Parser.Combinators,Parser.FastString,Parser.IRI,Parser.NTriples,Parser.TurtleScanner,RDF.Graph.Executable	6	33.54	0.85
Parser.TurtleScanner	PASS			Parser.Combinators,Parser.FastString	2	1.83	0.41
Parser.XML	PASS			Parser.Combinators,Parser.FastString	2	2.25	0.44
Parser.XPath	BLOCKED_SELF	monomorphization stack overflow	Fatal error: exception Stack overflow	Parser.Combinators,Parser.FastString	2	2.13	0.80
RDF.Bytes	PASS				0	1.98	0.35
RDF.Canonical	PASS			Parser.FastString,RDF.Dataset.Graphs,RDF.Graph.Executable	3	18.11	0.84
RDF.Canonical.Manifest	PASS				0	0.78	0.24
RDF.CottasInMem	PASS	header-only (all-assume-val module, no C body emitted)		RDF.CottasStore,RDF.Graph.Executable	2	33.11	0.58
RDF.CottasStore	PASS			Parquet.Footer,Parser.BallyhooCOTTAS,Parser.Combinators,Parser.FastString,Parser.NTriples,RDF.CottasStore.ColumnSeq,RDF.CottasStore.CompoundPresenceBitmap,RDF.CottasStore.LazyDict,RDF.CottasStore.LazyDictRegistry,RDF.CottasStore.OnDiskIndex,RDF.CottasStore.PageCache,RDF.Graph.Executable,RDF.NQuads.Serialize	13	45.37	1.05
